iter	RMSE
0	12506.56197
1	11547.16381
2	10751.02039
3	9901.08259
4	9152.38126
5	8441.572406
6	7803.972166
7	7226.685462
8	6709.719371
9	6238.235808
10	5786.179824
11	5399.412914
12	5039.02645
13	4732.346198
14	4466.363487
15	4191.058313
16	3970.215161
17	3809.40846
18	3599.417574
19	3411.681599
20	3246.927932
21	3099.125526
22	2960.252908
23	2818.14121
24	2718.116833
25	2619.294507
26	2538.091804
27	2447.58744
28	2368.316753
29	2274.289013
30	2229.228224
31	2152.885906
32	2096.575778
33	2048.789732
34	1996.80522
35	1958.893811
36	1928.40096
37	1877.183429
38	1834.627969
39	1802.040791
40	1779.01293
41	1744.653316
42	1716.259852
43	1696.030012
44	1664.962386
45	1635.97631
46	1609.694261
47	1587.12344
48	1560.384764
49	1536.899726
50	1520.692533
51	1497.221713
52	1481.20692
53	1451.17176
54	1428.458392
55	1407.29118
56	1387.058937
57	1365.92217
58	1353.58004
59	1340.580575
60	1329.531155
61	1313.771127
62	1306.312639
63	1287.461326
64	1269.951467
65	1264.165111
66	1246.577592
67	1233.248063
68	1224.223502
69	1213.733828
70	1205.49152
71	1191.203817
72	1185.617211
73	1166.616259
74	1160.523633
75	1149.147098
76	1139.739961
77	1133.831094
78	1125.273899
79	1119.364277
80	1106.931835
81	1090.606763
82	1078.398656
83	1063.706806
84	1059.57779
85	1051.266372
86	1045.455572
87	1040.124275
88	1023.570247
89	1020.666159
90	1017.891042
91	998.284129
92	996.5197876
93	983.9250724
94	977.7940967
95	971.2424533
96	957.7381503
97	955.2359147
98	946.0632792
99	932.5648598
100	923.632555
101	907.9190242
102	904.7500723
103	895.8139526
104	894.2467693
105	886.4795718
106	880.4041581
107	879.0179043
108	875.1851724
109	863.6272803
110	850.9048484
111	842.7563592
112	838.1732997
113	832.3125762
114	822.402237
115	820.4957879
116	819.6983821
117	815.4270025
118	809.9462037
119	798.3179556
120	787.9111814
121	778.614132
122	771.5810798
123	762.7120775
124	758.8245138
125	754.0243613
126	747.8822473
127	741.0603263
128	736.4362456
129	734.8911906
130	727.8584383
131	718.6994738
132	714.7308197
133	710.8446978
134	705.8412113
135	702.6301196
136	694.3190252
137	688.524656
138	684.4718063
139	679.1617196
140	674.3421645
141	669.7288218
142	664.9113619
143	662.587878
144	659.7858375
145	653.2963522
146	645.5565125
147	638.9127048
148	632.2506611
149	623.8902861
150	619.938018
151	613.9757888
152	608.3117753
153	602.4991395
154	600.4763747
155	598.301026
156	594.0926968
157	588.3771683
158	587.8617017
159	586.934901
160	582.0602487
161	576.6946383
162	571.9880121
163	569.7966996
164	568.9457861
165	567.4633248
166	561.7537583
167	558.6358042
168	554.830824
169	550.8426997
170	546.0386469
171	544.5805142
172	542.6554697
173	537.7712345
174	532.6915764
175	530.9504553
176	525.5620688
177	523.6463417
178	521.0782471
179	519.6263588
180	516.1418384
181	513.9147745
182	508.6081652
183	504.9685618
184	503.1254879
185	499.8499544
186	497.8659379
187	495.0040448
188	492.5587192
189	490.9126068
190	487.4885495
191	483.831322
192	481.6870085
193	477.5275875
194	473.5198594
195	469.6088012
196	467.7071432
197	465.8790799
198	463.4236466
199	457.1547547
200	453.1402033
201	449.8215793
202	447.1242922
203	444.2122859
204	442.9077812
205	441.2755426
206	439.8458617
207	439.0630945
208	436.5205545
209	431.6241245
210	429.4921771
211	426.2250612
212	423.6168897
213	420.8702115
214	418.9170115
215	416.6338019
216	412.0215302
217	409.6787067
218	408.1226588
219	406.9232037
220	404.5574426
221	403.817676
222	401.9760927
223	398.3948696
224	393.4958436
225	391.1877069
226	389.4288105
227	384.9839754
228	384.509965
229	380.6865755
230	379.0507839
231	377.7827381
232	376.827827
233	374.7270172
234	373.7001454
235	370.970211
236	368.7747139
237	366.1594335
238	364.1513605
239	360.5814446
240	358.7121247
241	356.9701072
242	355.3468139
243	353.4896209
244	353.1892698
245	351.8062088
246	351.2518041
247	348.0744722
248	345.862404
249	341.9843643
250	341.3218295
251	339.3746512
252	335.8418796
253	334.3442376
254	333.168985
255	330.355546
256	329.3187399
257	327.502926
258	326.7677283
259	325.346653
260	323.3213787
261	320.0694636
262	317.6796295
263	317.1531805
264	315.7438949
265	315.052415
266	314.4497412
267	311.4947249
268	309.923139
269	307.1565082
270	305.6188503
271	304.900162
272	303.6832983
273	302.293952
274	298.7191192
275	296.6677617
276	295.170506
277	293.7917267
278	292.6715967
279	292.3125081
280	291.2527967
281	288.9368628
282	288.2812234
283	287.5918757
284	285.2006477
285	283.6965509
286	282.2672213
287	281.7866789
288	281.1821723
289	280.2422288
290	278.9958664
291	278.4209576
292	277.7299372
293	276.3855384
294	274.9736064
295	273.6061328
296	271.7001079
297	270.2187665
298	269.7049817
299	268.220261
300	267.6965568
301	265.4090887
302	264.4931135
303	264.3104793
304	263.1537666
305	262.245679
306	261.2031123
307	259.8284102
308	258.565683
309	255.7587271
310	255.5879536
311	254.7727367
312	253.9964284
313	252.4226996
314	251.4708727
315	250.6281409
316	249.7805722
317	249.2474336
318	248.6720038
319	247.4030997
320	246.5964038
321	245.6959679
322	245.144871
323	243.4647539
324	242.5296179
325	242.0976713
326	241.7049063
327	241.0354827
328	240.3879365
329	239.6558489
330	237.7542374
331	237.4262824
332	236.5817404
333	234.3861296
334	233.5904087
335	233.1425051
336	232.5381474
337	230.9340808
338	229.5758446
339	228.448247
340	228.1632107
341	226.4913329
342	226.1821511
343	224.4691473
344	224.1748902
345	222.4995746
346	222.2592535
347	221.3835733
348	219.5998155
349	217.9959264
350	216.8559122
351	216.0684746
352	215.510694
353	214.9124144
354	213.2093506
355	212.9910273
356	211.8067511
357	211.555352
358	211.0270413
359	210.3944058
360	210.0477311
361	209.3880433
362	207.9407142
363	207.6033639
364	207.3213119
365	206.9640197
366	206.6829438
367	205.4762724
368	204.7756289
369	203.7373514
370	203.3046076
371	202.1021753
372	201.47666
373	201.0089476
374	200.8316813
375	200.5500447
376	199.1669346
377	198.2343084
378	197.7255841
379	197.4398842
380	196.1425526
381	193.9576616
382	193.727005
383	193.2170105
384	192.0686333
385	191.8881964
386	191.5649588
387	190.5556563
388	188.7819106
389	188.3458188
390	187.7854662
391	187.4128224
392	186.5735724
393	186.1679734
394	185.1810591
395	184.7783597
396	184.204376
397	184.0308783
398	183.2211537
399	182.8438841
400	182.6753966
401	181.8846757
402	180.6811453
403	180.024367
404	179.4486333
405	178.7803835
406	178.2384867
407	177.7314761
408	177.1544054
409	176.2334995
410	176.0025236
411	174.9232279
412	174.2743471
413	173.7818629
414	173.265644
415	172.4521711
416	171.6499023
417	170.9142139
418	170.2529832
419	169.4698703
420	168.3243426
421	167.1779595
422	166.0995052
423	165.2220725
424	165.0716423
425	164.5364696
426	163.6896454
427	163.4363832
428	162.4008207
429	161.262238
430	160.8626669
431	160.7100705
432	159.3296301
433	158.90655
434	158.4636583
435	157.9215445
436	157.3628409
437	156.5138211
438	156.2842989
439	156.1052117
440	155.3215145
441	154.6445533
442	153.4120033
443	152.8950714
444	152.2349648
445	151.8572516
446	151.4559651
447	149.9587857
448	149.5801452
449	148.5218966
450	148.3398329
451	147.4135487
452	146.7697134
453	146.5242993
454	146.3369381
455	145.8738956
456	145.68524
457	145.1206138
458	143.6193073
459	142.8558806
460	142.2073959
461	141.7629334
462	141.5274455
463	141.3292901
464	140.4432724
465	140.2554507
466	139.2968144
467	139.2002992
468	137.9426074
469	137.7019551
470	137.6370574
471	137.4776223
472	137.3242889
473	136.7399519
474	136.3570555
475	136.22599
476	135.1400466
477	134.1445929
478	133.3192398
479	133.0946421
480	132.384552
481	132.0665311
482	131.7879259
483	131.6276648
484	131.1188835
485	130.3363527
486	129.8291651
487	129.6809498
488	128.7399421
489	127.8645532
490	127.7642408
491	127.6158067
492	127.1070721
493	126.6222238
494	126.5666509
495	125.8056201
496	125.3176911
497	125.2520622
498	124.6270812
499	124.4148147
500	123.6013652
501	123.3479538
502	122.8959472
503	122.2515081
504	121.9595899
505	121.9248081
506	121.045039
507	120.7240937
508	120.4457265
509	119.8546
510	119.561722
511	119.3491365
512	118.7125829
513	118.5675319
514	117.9771529
515	117.318294
516	116.8686562
517	116.5419137
518	116.2842843
519	115.8903289
520	115.6296416
521	115.1694041
522	114.5689206
523	114.2211859
524	113.4976778
525	113.1204567
526	112.5188531
527	112.1750814
528	111.7058847
529	111.1804123
530	110.7326223
531	110.3156882
532	109.7287214
533	109.5012757
534	109.075928
535	108.3470625
536	107.9018673
537	107.4036712
538	106.696006
539	106.5247919
540	106.1929527
541	105.5714837
542	105.0613871
543	104.6216914
544	104.2734511
545	103.9435175
546	103.4946942
547	102.8933886
548	102.6069804
549	102.526715
550	102.0811329
551	101.8296303
552	101.5411432
553	100.8303828
554	100.7756736
555	100.4705977
556	100.4104473
557	100.2760245
558	99.6872277
559	99.5384264
560	98.99290618
561	98.95410947
562	98.65894718
563	98.41121443
564	97.86827229
565	97.57552105
566	96.82278788
567	96.37033339
568	95.95903083
569	95.76562732
570	95.66254463
571	95.52129971
572	95.28328186
573	95.03933204
574	94.70627678
575	94.38532529
576	93.92508131
577	93.6311764
578	93.35451975
579	93.20128772
580	92.34917823
581	92.25781887
582	92.04991777
583	91.96587576
584	91.40900019
585	91.15570983
586	90.73530567
587	90.27134345
588	89.85057876
589	89.65058557
590	89.51584865
591	89.22665636
592	88.68112183
593	88.46571732
594	88.07002137
595	87.97061564
596	87.3234343
597	86.81891327
598	86.43110495
599	85.89148389
600	85.79756768
601	85.2896529
602	84.84831304
603	84.80295237
604	84.43821541
605	84.21366046
606	83.97486686
607	83.68053481
608	83.61580096
609	83.17951337
610	82.6675909
611	82.47529793
612	82.32533814
613	82.16552907
614	81.8196249
615	81.56441517
616	81.24565051
617	81.19055366
618	81.07304808
619	80.93037332
620	80.37488783
621	80.20570575
622	79.97858569
623	79.88606291
624	79.73956856
625	79.5371521
626	79.49644584
627	78.97728415
628	78.72909707
629	78.33085689
630	78.28600547
631	77.87230286
632	77.82654538
633	77.47077023
634	77.08829599
635	76.69246542
636	76.64531446
637	76.15104642
638	75.89369663
639	75.75516599
640	75.41202392
641	75.22034838
642	74.88642441
643	74.46093529
644	74.31378846
645	74.28885838
646	74.03978008
647	73.89985054
648	73.65486005
649	73.29430923
650	73.15610125
651	72.96928922
652	72.70943353
653	72.41049039
654	72.3168857
655	71.97238104
656	71.69491226
657	71.37290226
658	71.20270553
659	70.94853954
660	70.90195399
661	70.86838751
662	70.53516649
663	70.31667652
664	70.09920072
665	69.74837795
666	69.63793065
667	69.55558452
668	69.15121151
669	69.12439392
670	68.99098991
671	68.60535031
672	68.41698084
673	68.27493197
674	67.70203509
675	67.30160611
676	67.11524777
677	66.88904539
678	66.51298516
679	66.39115222
680	66.24703886
681	65.90417396
682	65.81559785
683	65.66400932
684	65.48221707
685	65.33305312
686	65.18939397
687	64.98002477
688	64.84583281
689	64.6928748
690	64.60518657
691	64.30231862
692	64.17188832
693	63.9365935
694	63.71481745
695	63.44584382
696	63.15320962
697	62.95670446
698	62.73010369
699	62.65032985
700	62.51792541
701	62.37979716
702	62.10102726
703	61.81947467
704	61.62958518
705	61.33140121
706	61.13628745
707	60.80350538
708	60.62028691
709	60.49189764
710	60.22562215
711	59.92115862
712	59.78756506
713	59.5590381
714	59.39391862
715	59.17993416
716	59.05895219
717	58.89563302
718	58.77199012
719	58.65493405
720	58.57602323
721	58.46635603
722	58.07716743
723	57.73185242
724	57.54030312
725	57.4575758
726	57.37427012
727	57.12376955
728	56.90523511
729	56.88491831
730	56.70791137
731	56.45499
732	56.43661298
733	56.412204
734	56.25404875
735	56.1919364
736	56.04680593
737	55.76931004
738	55.68175928
739	55.60342639
740	55.3255266
741	55.22573119
742	54.99746836
743	54.81739799
744	54.72454656
745	54.44707086
746	54.36275811
747	54.18642777
748	53.90384306
749	53.73820152
750	53.55116701
751	53.12803719
752	53.02250619
753	52.78465542
754	52.6822502
755	52.5775118
756	52.4856137
757	52.41591141
758	52.33230133
759	52.24806835
760	52.16834472
761	51.92810192
762	51.74416756
763	51.44375093
764	51.35870504
765	51.13769541
766	51.02271948
767	50.93531499
768	50.81704612
769	50.6661092
770	50.47589836
771	50.17261157
772	49.86957827
773	49.83850501
774	49.79774618
775	49.65712936
776	49.49763209
777	49.37901322
778	49.23638004
779	49.02201528
780	48.93605223
781	48.87769355
782	48.81312459
783	48.79222701
784	48.75962173
785	48.59571165
786	48.41261632
787	48.34196378
788	48.32011734
789	48.01720248
790	47.88825147
791	47.70860631
792	47.47485689
793	47.44042924
794	47.41790589
795	47.23128776
796	47.13794823
797	46.79871509
798	46.7257783
799	46.45753852
800	46.3841307
801	46.32540545
802	46.07526613
803	45.97117746
804	45.93818576
805	45.71601101
806	45.63657468
807	45.56858818
808	45.42411339
809	45.18271505
810	45.14208381
811	44.98197616
812	44.77305534
813	44.6095604
814	44.46740063
815	44.37392817
816	44.23816211
817	44.01281929
818	43.87407877
819	43.7282734
820	43.58431736
821	43.49043891
822	43.44444473
823	43.33420916
824	43.28273428
825	43.0989015
826	42.95764408
827	42.8845164
828	42.61899022
829	42.47882264
830	42.418043
831	42.35144622
832	42.21189904
833	42.07496121
834	41.8807348
835	41.81542803
836	41.77260514
837	41.61150065
838	41.53771404
839	41.44990863
840	41.23866503
841	41.17610471
842	40.99253776
843	40.89054608
844	40.70352634
845	40.69085186
846	40.51899831
847	40.38550235
848	40.28348574
849	40.2131897
850	40.11460992
851	39.97909235
852	39.87996417
853	39.78796972
854	39.76814173
855	39.7129873
856	39.5888635
857	39.53556009
858	39.48605544
859	39.32676733
860	39.16761944
861	39.15660115
862	39.14347057
863	39.01257874
864	38.90567774
865	38.84047672
866	38.79442738
867	38.62459253
868	38.57929995
869	38.5230335
870	38.44094573
871	38.27655682
872	38.13639799
873	37.95490651
874	37.87600229
875	37.78205064
876	37.63663227
877	37.60721811
878	37.43297446
879	37.38766046
880	37.21948496
881	37.17617284
882	37.07113314
883	37.00623487
884	36.96180121
885	36.7583727
886	36.60744438
887	36.47966145
888	36.31911981
889	36.23749924
890	36.15400883
891	36.05589932
892	35.94064874
893	35.71832072
894	35.61336104
895	35.51579186
896	35.42854929
897	35.29184291
898	35.24935629
899	34.97731138
900	34.92471055
901	34.858323
902	34.84574797
903	34.73398038
904	34.64755154
905	34.63859933
906	34.52820783
907	34.37701145
908	34.33325079
909	34.07873059
910	33.84804737
911	33.69768879
912	33.54370587
913	33.45594949
914	33.34500521
915	33.29580073
916	33.15901212
917	32.98923807
918	32.95366016
919	32.91183267
920	32.79233008
921	32.50682865
922	32.39074713
923	32.35220958
924	32.29121522
925	32.27196672
926	32.121665
927	32.0479456
928	32.00415565
929	31.88986945
930	31.77988233
931	31.69492844
932	31.61504953
933	31.5563983
934	31.36918037
935	31.20844046
936	31.17799282
937	31.11507467
938	30.99160803
939	30.84468545
940	30.71281782
941	30.53756023
942	30.43462845
943	30.32441182
944	30.31792794
945	30.20172913
946	30.11804281
947	30.06272532
948	30.01025997
949	29.97714581
950	29.82704316
951	29.76107144
952	29.71266729
953	29.66303622
954	29.57669231
955	29.52054132
956	29.49186862
957	29.42364764
958	29.25283937
959	29.20882978
960	29.18679352
961	29.1381309
962	29.06039813
963	29.03260223
964	29.0117535
965	28.8705901
966	28.81278309
967	28.7817372
968	28.72857204
969	28.68612646
970	28.61876039
971	28.50411266
972	28.43037857
973	28.33409582
974	28.30363843
975	28.17790504
976	28.15100536
977	28.11701892
978	28.10856333
979	27.98138863
980	27.81900336
981	27.68642046
982	27.64986821
983	27.57831733
984	27.43122621
985	27.32287991
986	27.26505537
987	27.14321969
988	27.06068471
989	27.01117743
990	26.93674647
991	26.83312384
992	26.77786727
993	26.73834233
994	26.69635913
995	26.65467615
996	26.59367344
997	26.52852674
998	26.49385531
999	26.35726601
