iter	RMSE
352	105.1525086
353	104.6559296
354	104.2781987
355	103.8522188
356	103.7462013
357	103.3135199
358	102.8996042
359	102.5116654
360	101.9375074
361	101.4914797
362	100.995588
363	100.655782
364	100.3793768
365	100.1983932
366	100.1073671
367	99.56806264
368	99.14865416
369	98.70645648
370	98.22792011
371	97.7124132
372	97.58909834
373	97.12534507
374	97.03002732
375	96.78891289
376	96.43690479
377	95.9479787
378	95.79301421
379	95.44676549
380	95.09189979
381	94.7338168
382	94.48547964
383	94.08858651
384	93.90315383
385	93.84553905
386	93.66697594
387	93.42145326
388	92.92103868
389	92.57292734
390	92.3066254
391	91.97656888
392	91.57875312
393	91.13236148
394	90.90982221
395	90.49274571
396	90.10025837
397	89.75080969
398	89.26043277
399	89.08102813
400	88.78281886
401	88.32386151
402	87.93653291
403	87.56777853
404	87.15675955
405	87.09035305
406	86.72730059
407	86.55522743
408	86.13481106
409	85.98518813
410	85.79906393
411	85.54028188
412	85.19524798
413	84.9817242
414	84.55248834
415	84.09388166
416	83.88030959
417	83.54277324
418	83.2929387
419	83.1386893
420	82.94587749
421	82.43287752
422	82.24123884
423	81.86642233
424	81.5278221
425	81.29977023
426	80.88498362
427	80.60032382
428	80.37311096
429	80.05256895
430	79.72916838
431	79.4902621
432	79.26631615
433	79.09318013
434	78.72854999
435	78.59708515
436	78.31261896
437	77.91238051
438	77.62847308
439	77.29294232
440	76.88305378
